age;gender;employ;emplyoment_change;current_country;live_in_home_country;family_status;fami_cor;living_situation;livwadu;livwchi;time_leisure;gam_freq;beh_ch_general;beh_ch_single_player;beh_ch_coll;beh_ch_comp;beh_ch_conn;motives_play_1;motives_play_2;motives_play_3;motives_play_4;motives_play_5;motives_play_6;motives_play_7;motives_play_8;motives_play_9;motives_play_10;motives_play_11;motives_play_12;motives_play_13;motives_play_14;motives_play_15;motives_play_16;motives_play_17;motives_play_18;motives_play_19;motives_play_20;motives_play_21;motives_play_22;motives_play_23;motives_play_24;motives_play_25;loneliness_1;loneliness_2;loneliness_3;loneliness_4;loneliness_5;loneliness_6;loneliness_7;loneliness_8;loneliness_9;loneliness_10;loneliness_11;loneliness_12;loneliness_13;loneliness_14;loneliness_15;loneliness_16;loneliness_17;loneliness_18;loneliness_19;loneliness_20;loneliness_21;loneliness_1_rec;loneliness_5_rec;loneliness_6_rec;loneliness_10_rec;loneliness_11_rec;loneliness_16_rec;loneliness_17_rec;loneliness_20_rec;loneliness_21_rec;MOT_social;MOT_escape;MOT_competition;MOT_coping;MOT_skill;MOT_fantasy;Loneliness_sum
36;2;3; ;Germany;2;2;1;2;1;1;3;2;2;2;4;3;4;4;5;2;5;2;2;2;2;1;4;2;1;4;2;1;2;2;1;2;1;2;1;3;2;3;3;2;2;1;4;3;4;1;1;4;4;2;1;1;1;4;4;1;2;4;4;2;1;2;1;1;1;1;1;1;3;2,75;1,25;3,5;2;1,75;26
52;2;3; ;Switzerland;1;2;2;2;2;1;4;2;4;3;3;3;3;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;4;3;2;1;1;2;3;4;1;2;4;3;1;1;2;1;4;4;2;2;4;4;2;3;2;1;2;1;1;1;1;1;1;1;1,25;1;2,5;30
24;1;3; ;Germany;2;2;1;3;4;0;4;2;2;3;3;3;3;1;5;1;4;2;4;1;4;1;4;2;5;1;4;1;1;2;4;1;1;1;1;2;2;5;3;4;4;3;3;2;4;4;3;2;2;3;3;3;4;2;2;3;3;2;2;2;2;3;3;3;3;3;3;3;1;3,5;1;2,75;2;4,5;62
30;2;3; ;Germany;2;1;1;2;0;0;4;2;2;2;3;3;3;1;2;4;4;4;4;2;1;2;4;3;1;2;2;2;2;2;1;2;1;2;3;4;3;2;3;4;4;3;2;2;4;3;3;3;2;2;3;4;3;3;1;3;3;2;2;2;3;3;2;3;2;4;3;3;1,75;1,75;2,75;3,5;3;2;60
25;2;3; ;Germany;2;1;1;2;2;0;3;2;4;5;3;3;3;1;4;1;5;1;4;1;5;3;4;2;4;2;5;1;2;3;2;2;1;1;3;4;3;5;4;3;2;3;4;3;4;1;3;4;3;2;3;1;2;3;3;4;2;4;4;1;1;2;1;2;2;2;1;1;1,5;3,75;2;3,75;2,25;3,75;39
30;4;4; ;Germany;2;1;1;2;4;0;4;2;4;2;5;3;3;1;5;1;2;2;1;2;2;2;4;4;1;1;5;1;1;4;1;2;1;2;2;4;2;2;3;2;1;1;4;2;4;3;3;2;3;1;3;4;1;4;3;3;3;3;3;2;1;3;3;2;1;2;2;2;1,5;3,5;1,5;2,75;3;1,25;43
34;2;5; ;Germany;2;2;1;2;1;1;2;2;1;4;1;1;3;1;4;1;4;3;1;2;3;3;4;3;2;2;3;2;1;3;2;2;1;1;2;4;4;4;3;3;3;3;2;2;4;2;2;2;3;2;2;3;2;2;3;2;3;3;3;2;3;3;3;2;3;2;2;2;1,75;2,75;2;3,25;3,25;2,25;49
50;2;5; ;Germany;2;2;2;2;0;0;4;2;1;1;1;1;1;1;4;2;4;1;1;2;4;1;4;1;1;1;4;1;3;1;1;2;1;1;1;3;1;4;1;2;3;1;4;3;4;2;3;2;2;2;2;3;2;3;2;2;3;2;2;4;1;2;3;3;2;3;3;3;1,5;3,25;1,25;3,5;1;1,75;49
40;2;3; ;Germany;2;2;2;2;0;0;4;2;3;3;3;3;3;1;2;2;1;3;3;1;2;2;3;2;2;1;3;1;1;3;2;1;1;1;2;1;2;3;3;1;1;1;3;3;4;2;2;3;3;1;1;2;2;4;4;3;2;4;4;2;2;2;2;2;1;1;1;1;1;2;1,75;1,5;2,5;2,5;32
36;2;3; ;Germany;2;2;2;2;1;3;3;2;2;1;3;4;3;1;2;2;3;4;1;1;1;1;4;2;1;4;1;2;3;2;1;1;1;1;2;3;2;2;4;3;1;1;4;4;4;2;4;4;4;2;2;1;1;4;4;2;2;4;4;1;1;1;1;1;1;1;1;1;1,75;1,25;1,75;3,25;2,5;1,25;30
28;1;2; ;Germany;2;1;1;3;3;2;2;2;2;1;4;3;3;1;2;1;4;2;1;1;2;1;4;4;1;2;1;1;1;3;1;2;1;2;1;4;4;2;3;3;1;2;4;3;4;1;2;3;3;2;2;2;2;3;4;2;1;4;4;2;1;2;2;2;2;1;1;1;1,5;1,75;1;3,25;3,25;1,25;34
61;1;7; ;Austria;2;3;2;2;0;0;4;2;3;3;3;3;3;1;2;2;2;2;1;2;2;5;4;4;1;1;2;2;4;4;1;1;1;2;2;2;4;1;3;4;3;3;2;2;4;3;2;4;3;2;2;1;1;3;3;1;2;4;4;2;3;3;1;2;2;2;1;1;1,25;2;2,75;3;3,5;1;41
43;2;3; ;Germany;2;2;1;1;0;0;4;2;3;3;3;3;3;1;1;1;4;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;3;3;4;2;1;4;4;1;1;1;1;4;4;1;2;4;4;1;2;2;1;1;1;1;1;1;1;1;1,75;1,75;1;1;24
30;2;3; ;Germany;2;1;2;2;1;0;3;2;3;2;4;3;4;2;4;2;4;3;5;4;3;3;5;3;4;5;3;1;1;3;4;5;1;2;1;2;2;5;3;4;2;3;3;3;4;3;3;3;3;3;1;2;2;4;4;4;3;2;2;2;2;2;2;2;1;1;3;3;4;3;1,75;3;2,75;4,5;48
22;1;2; ;Germany;2;1;2;2;2;0;4;2;3;3;3;3;3;1;4;1;5;2;1;1;4;2;5;1;4;1;5;1;1;2;3;1;1;3;1;4;2;5;2;3;2;2;4;2;4;3;3;3;3;2;1;2;2;2;3;3;3;2;3;3;1;3;2;2;3;2;3;2;1;4;1,25;3,75;1,75;3,25;47
38;2;5; ;Austria;2;2;1;2;1;0;4;3;5;5;3;3;3;1;1;1;4;2;3;1;2;1;3;1;3;1;4;1;1;1;4;1;1;2;1;3;3;5;3;3;2;1;4;4;4;3;2;3;3;1;1;1;1;4;4;2;2;4;4;2;1;1;2;2;1;1;1;1;1;2,25;1;2,75;1,75;3,75;31
26;1;4; ;Germany;2;1;1;3;0;0;4;3;4;4;4;3;5;1;5;2;5;3;5;2;1;2;5;2;2;2;5;1;2;4;3;2;1;1;1;5;5;5;4;3;1;3;4;3;4;3;2;3;3;1;1;1;3;4;4;3;1;4;4;1;1;2;2;2;1;1;1;1;1,75;3;1,5;4,25;3,5;3,75;34
33;2;3; ;Austria;2;2;3;2;1;0;4;3;4;4;3;3;3;1;2;4;2;2;2;1;2;4;3;2;1;2;2;3;1;2;1;2;1;2;3;2;2;4;4;3;4;1;4;3;4;2;2;4;4;1;1;1;2;4;4;3;1;4;4;1;1;2;1;1;1;1;1;1;1,5;2;3,5;2;2;2;31
19;1;2; ;Germany;2;2;1;2;2;0;4;3;5;4;5;3;5;1;2;1;5;1;2;5;4;1;5;4;1;4;4;1;2;2;2;4;1;2;1;2;1;4;3;3;3;3;4;3;4;3;3;3;2;2;1;3;2;4;4;3;2;4;4;2;1;2;2;3;1;1;1;1;3,5;3;1;3,5;2;2,25;42
24;2;2; ;Germany;2;2;2;2;1;0;4;3;4;4;4;4;3;1;2;3;3;2;1;1;3;3;3;1;2;4;4;3;2;2;3;2;1;2;3;3;1;2;4;3;1;1;3;3;4;3;2;3;3;1;1;2;3;3;4;1;2;4;4;1;2;2;2;2;2;1;1;1;2;2,75;3;2,75;1,5;2;34
26;1;2; ;Austria;2;1;1;3;2;0;4;3;4;4;3;3;3;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;4;1;3;3;2;4;1;1;4;3;1;1;2;3;3;3;4;2;3;4;2;2;3;1;2;2;2;2;1;1;1;1;1,5;1;1;40
29;2;4;2;Austria;2;2;1;2;1;0;4;3;3;2;4;3;3;1;2;3;3;3;1;5;2;3;3;2;1;5;2;2;1;2;1;5;1;1;1;2;3;2;4;3;1;1;4;4;4;2;3;4;4;1;1;1;2;4;4;2;4;4;4;1;1;1;1;1;1;1;1;1;4;1,75;2,25;2,25;2,5;1,25;30
26;1;4; ;Germany;2;1;1;2;0;0;4;3;4;3;4;3;4;1;3;1;4;2;4;2;4;1;4;2;2;4;4;1;3;2;2;2;1;4;2;4;2;4;3;2;2;2;3;2;4;2;2;2;3;3;2;3;2;3;2;4;2;3;3;2;2;3;3;2;2;3;2;2;2,25;3,75;1,25;3,75;2;3;47
33;2;3; ;Germany;2;2;1;2;0;0;4;3;3;3;3;3;3;1;2;1;5;1;5;1;2;5;5;2;1;1;2;1;1;1;1;1;1;2;1;4;1;5;3;1;1;1;3;3;4;1;1;3;3;2;1;1;1;4;4;3;2;4;4;2;2;2;2;2;1;1;1;1;1;2;2;3,75;1,25;3;29
27;1;5; ;Germany;2;1;1;3;1;0;4;3;5;5;3;3;3;1;2;2;4;2;3;1;2;3;5;2;1;1;2;2;2;3;1;2;1;2;2;4;2;4;3;2;2;1;3;4;4;3;2;3;4;2;1;1;1;4;4;2;2;4;4;2;2;1;2;1;1;1;1;1;1,25;2;2,25;3,75;2,25;2,25;31
21;1;2; ;Germany;2;1;2;2;3;0;4;3;4;3;4;3;4;1;1;4;3;3;1;4;1;2;1;4;1;4;1;1;1;2;1;4;1;1;2;3;4;5;4;3;3;3;4;3;4;3;2;3;3;1;1;1;3;3;3;3;3;3;3;1;1;2;2;2;2;2;2;2;3,25;1;2,25;2;3,25;2;42
23;1;2; ;Austria;2;1;2;3;2;0;4;3;4;3;4;3;4;1;2;1;4;2;5;1;3;1;4;2;2;1;3;1;2;2;3;2;1;1;1;4;2;4;3;3;1;2;4;3;4;2;3;3;3;1;2;1;3;3;4;3;3;3;4;2;1;2;2;2;2;1;2;1;1,25;2,25;1;3,5;2;3,5;39
20;2;2; ;Austria;2;1;2;2;3;0;4;3;4;2;4;4;3;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;4;3;4;1;2;3;3;1;1;1;1;4;3;3;1;4;4;2;1;2;2;2;1;2;1;1;1;1;1,5;1,25;1;1;29
31;2;3; ;Germany;2;2;1;2;1;0;4;3;3;3;3;3;3;2;4;3;4;5;5;2;3;4;5;5;2;4;4;1;2;5;3;2;1;2;2;4;5;5;3;2;3;3;3;2;4;1;3;2;3;2;1;1;1;3;3;4;2;4;4;2;2;3;3;2;2;2;1;1;2,5;3,25;2,5;3,75;5;3,75;41
30;2;3; ;Germany;1;2;2;2;1;0;5;3;4;4;4;4;1;1;2;1;4;4;2;1;1;2;4;3;1;1;1;1;1;2;1;1;1;2;1;2;2;3;4;3;1;1;4;3;4;2;2;3;3;2;1;2;1;4;4;2;2;4;4;1;1;2;2;2;1;1;1;1;1;1,5;1,25;2,75;2,75;1,75;31
32;2;3; ;Germany;2;2;1;2;1;0;4;3;3;3;3;3;3;1;1;2;4;2;4;1;1;4;2;2;3;1;2;2;1;2;2;1;1;2;3;2;2;4;3;3;2;1;3;3;4;2;3;2;3;2;1;2;1;4;3;3;2;3;4;2;2;2;3;2;1;2;2;1;1;1,5;2,75;2,25;2;3,25;39
35;2;3; ;Germany;2;1;1;2;1;0;4;3;4;4;2;4;5;1;2;2;4;2;4;2;2;3;4;3;2;4;3;1;1;4;4;3;1;2;2;4;3;5;3;3;1;2;4;3;4;1;2;3;3;2;1;1;2;4;4;3;2;4;4;2;1;2;2;2;1;1;1;1;2,5;2,25;2;3,25;3;3,75;33
22;2;3; ;Germany;2;1;2;2;2;0;4;3;3;3;3;3;3;1;4;2;3;2;4;2;1;2;2;2;2;3;2;1;1;2;2;4;1;1;1;2;2;3;4;3;2;2;3;3;4;2;3;3;3;2;2;2;3;3;4;4;2;4;4;1;2;2;2;2;2;1;1;1;2,5;2;1,5;2;2;2,75;41
33;2;3; ;Germany;2;2;2;2;2;0;3;3;4;4;3;4;4;2;5;1;4;4;5;2;2;2;3;2;1;2;3;1;1;2;3;2;1;2;1;1;1;4;3;3;2;3;3;2;4;3;2;3;2;2;1;3;2;2;3;3;3;4;4;2;2;3;2;3;3;2;1;1;2;3;1,25;2,25;2,25;3,25;46
29;2;2; ;Germany;2;2;1;2;2;0;4;3;3;3;3;3;3;2;2;4;4;2;4;4;1;4;4;2;1;5;1;4;1;3;1;5;1;1;4;1;2;4;3;2;1;1;4;3;4;1;1;4;4;1;1;1;1;4;4;1;1;4;4;2;1;2;1;1;1;1;1;1;4;1,25;4;2,5;2,25;2,5;23
30;1;3; ;Germany;2;2;1;2;0;0;4;3;5;5;3;3;3;1;4;1;4;2;1;1;4;2;5;2;1;1;3;1;1;4;1;1;1;1;1;3;3;5;4;3;1;2;3;4;4;2;1;3;4;1;1;1;1;4;4;2;1;4;4;1;2;1;2;1;1;1;1;1;1;3;1,25;3,25;2,75;2;27
25;2;3; ;Germany;2;1;3;2;0;0;4;3;3;3;3;3;3;2;4;2;4;3;3;2;3;2;5;2;1;2;2;1;2;3;1;2;1;1;1;4;3;4;3;2;2;2;2;2;4;3;3;2;2;2;1;3;2;3;2;3;3;2;2;2;3;3;3;3;2;3;3;3;2;2,5;1,5;3,75;2,75;2,25;51
30;2;3; ;Germany;2;1;1;2;2;0;4;3;3;3;3;3;3;1;1;1;1;4;3;1;1;3;2;4;1;1;2;2;1;3;1;1;1;1;1;1;4;2;4;3;1;1;4;4;4;2;1;3;3;1;1;1;1;3;3;3;1;4;4;1;1;1;2;2;2;2;1;1;1;1,25;1,75;1,25;3,75;1,75;29
27;2;3; ;Germany;2;2;1;2;1;0;4;3;2;3;2;2;4;1;1;5;5;5;4;3;4;5;4;5;2;4;4;5;1;5;3;3;1;3;2;4;5;4;4;2;1;1;4;3;4;1;3;4;4;1;1;2;1;4;3;2;2;3;4;1;1;2;1;1;1;2;2;1;2,75;3;4,25;3,5;5;3,25;29
41;2;3; ;Belgium;1;3;2;3;0;1;3;3;4;4;3;3;3;1;4;1;2;4;4;1;4;3;2;4;2;1;4;1;1;4;4;1;1;2;1;2;2;5;2;4;4;3;3;2;4;3;3;2;2;3;3;4;3;2;2;4;2;2;2;3;2;3;3;3;3;3;3;3;1;3,5;1,5;1,75;3,5;3,75;62
36;2;3; ;Germany;2;2;3;2;1;2;3;3;3;3;3;3;3;1;2;4;2;1;1;4;1;4;4;1;1;2;1;4;1;1;1;1;1;1;4;2;1;1;4;1;1;1;3;3;4;1;1;3;3;1;1;1;1;3;3;3;1;4;4;1;2;2;2;2;2;2;1;1;2;1,25;4;2,25;1;1;28
21;2;2; ;Germany;2;1;1;2;3;0;4;3;4;4;4;3;3;1;4;1;4;2;4;2;5;3;4;4;5;3;5;2;3;2;5;4;1;1;1;3;4;5;3;4;3;3;2;2;4;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;3;3;2;2;2;2;2;2;2,5;3,75;1,75;3,5;3;4,75;53
28;2;3; ;Germany;2;4;2;3;1;0;4;3;4;4;2;2;2;1;2;2;4;3;1;1;2;2;2;3;2;2;2;2;1;1;2;1;1;1;2;2;3;2;2;4;3;3;2;2;4;3;3;3;2;4;3;4;3;2;2;3;3;2;2;3;3;3;2;3;3;3;3;3;1,25;1,75;2;2,25;2,5;1,75;62
20;1;2; ;Germany;2;1;1;3;14;0;5;3;4;3;4;4;5;2;1;3;4;2;1;2;1;2;3;2;1;4;1;1;1;2;1;5;1;1;2;2;2;3;3;3;2;3;3;3;4;3;2;4;3;2;3;3;2;4;3;3;2;4;4;2;2;2;1;2;1;2;1;1;3,25;1;2;2,5;2;1,5;42
30;2;3; ;Germany;2;1;1;2;0;0;4;3;4;5;4;4;5;2;3;3;4;4;5;5;3;2;5;3;3;5;3;3;2;3;3;4;1;2;2;4;4;4;4;3;1;3;4;4;4;2;2;3;3;2;1;1;1;4;4;3;2;4;4;1;1;1;2;2;1;1;1;1;4;2,75;2,5;3,75;3,5;3,75;32
23;2;3; ;Germany;2;1;1;2;5;1;4;3;4;3;3;3;3;2;4;3;3;1;2;2;1;2;3;1;1;2;4;2;1;1;1;2;1;1;2;1;1;4;3;3;3;3;2;3;4;3;4;3;3;4;2;2;2;4;3;3;3;4;4;2;3;2;2;2;1;2;1;1;2;2,5;2,25;2;1;2;48
24;2;3; ;Germany;2;1;1;2;3;0;4;3;4;4;3;3;3;1;2;1;3;4;4;3;1;4;2;3;2;4;2;1;2;4;2;4;1;1;2;2;4;4;3;2;1;1;4;4;4;2;2;4;3;1;1;1;3;4;4;3;3;3;4;2;1;1;1;2;1;1;2;1;3;1,5;2;2,25;3,75;3;32
37;2;3; ;Switzerland;2;2;1;2;1;0;4;3;3;3;3;3;3;1;1;2;1;3;1;1;1;2;3;2;3;3;1;2;2;2;3;2;1;1;3;2;2;4;4;3;1;1;4;3;4;1;4;4;4;1;1;1;1;4;4;2;1;4;4;1;1;2;1;1;1;1;1;1;1,75;1;2,25;2;2,25;2,75;27
47;2;3; ;Germany;2;1;1;2;0;0;3;3;2;2;2;2;3;1;4;2;4;2;1;1;4;2;4;3;1;2;4;1;2;2;2;2;1;2;2;4;3;4;2;2;3;3;3;2;4;3;3;1;2;2;3;3;3;2;2;4;4;2;3;3;2;3;4;3;3;3;3;2;1,5;3,5;1,75;3,5;2,5;2;59
29;2;3; ;Germany;2;1;1;2;0;0;4;3;2;1;3;3;4;2;4;3;5;4;4;5;4;2;3;4;2;4;4;2;4;5;4;4;1;3;2;4;4;5;4;3;2;1;4;4;4;2;4;4;4;2;1;2;2;4;3;2;3;4;4;1;1;1;1;1;1;2;1;1;3,75;3,75;2,25;4;4,25;3,75;34
40;2;3; ;Germany;2;2;1;2;1;1;4;3;4;4;3;3;3;1;1;2;2;4;5;1;1;2;2;4;2;1;4;1;1;2;2;1;1;1;1;2;4;5;2;2;1;1;3;4;4;3;4;4;3;2;3;4;3;4;4;2;1;4;4;3;2;1;1;2;1;1;1;1;1;1,75;1,5;1,75;3,5;3,5;39
24;2;2; ;Germany;2;1;2;3;1;0;4;3;4;4;3;3;3;1;1;1;4;3;2;1;1;1;3;3;1;1;1;1;1;4;1;1;1;1;1;1;3;4;4;3;1;1;3;3;4;2;3;4;3;1;1;1;1;4;4;1;1;4;4;1;2;2;1;2;1;1;1;1;1;1;1;2,25;3,25;2;28
26;2;3; ;Germany;2;1;3;2;2;0;3;3;3;3;3;2;3;1;2;3;3;2;2;4;1;3;3;2;1;4;2;2;1;1;2;1;1;1;1;2;2;3;4;2;1;1;4;3;4;1;2;3;3;1;1;1;1;4;3;3;1;4;4;1;1;2;2;2;1;2;1;1;2,5;1,5;2,25;2,25;1,75;2;28
27;2;2; ;Italy;1;4;1;3;0;0;4;3;3;3;3;3;3;1;3;1;4;1;3;1;2;2;3;1;2;1;3;1;1;1;3;1;1;3;2;2;1;4;3;4;3;4;2;3;4;4;3;3;2;3;1;2;4;3;3;3;3;3;3;2;3;2;2;3;2;2;2;2;1;2,75;1,5;2,5;1;3;54
39;2;3; ;Germany;2;1;1;3;1;0;4;3;2;2;2;2;2;1;1;2;4;2;2;1;2;3;2;2;1;2;3;2;2;3;1;1;1;2;2;3;3;3;3;2;2;1;3;4;4;2;2;2;2;2;3;1;1;2;4;3;2;3;3;2;2;1;3;3;3;1;2;2;1,25;2;2,25;2,75;2,5;1,75;40
41;2;3; ;Germany;2;1;2;2;2;0;4;3;4;3;3;4;4;1;1;4;4;4;4;2;1;3;3;4;2;3;1;1;1;4;3;4;1;1;2;4;4;4;3;2;2;2;3;3;4;3;3;2;3;2;1;3;2;2;3;4;2;3;3;2;2;2;3;2;3;2;2;2;2,5;1;2,5;3;4;3,25;46
38;2;3; ;Germany;2;1;1;2;0;0;4;3;3;3;3;3;3;1;2;1;2;1;4;1;2;2;4;1;2;1;3;1;1;1;2;1;1;1;1;1;1;4;3;3;3;3;2;2;4;3;3;2;2;3;3;3;3;2;3;4;3;2;2;2;3;3;3;3;3;2;3;3;1;2;1,25;2;1;3;59
22;2;2; ;Austria;2;1;2;2;2;0;4;3;3;3;3;3;3;1;2;2;2;1;2;2;2;2;4;2;1;1;3;2;1;2;2;2;1;1;2;4;2;3;3;2;2;2;3;3;4;3;3;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;2;2;3;3;1,5;2;2;2,75;1,75;2;48
31;2;3; ;Germany;2;2;2;2;1;0;4;3;5;3;5;5;5;1;2;3;2;1;1;2;1;2;1;1;1;4;1;1;1;1;1;3;1;2;2;1;1;1;3;3;1;1;4;3;4;1;2;3;3;1;1;1;3;3;3;1;3;2;2;2;1;2;2;2;2;2;3;3;2,5;1,5;2;1,25;1;1;37
33;2;3; ;Germany;2;1;1;1;0;0;3;3;2;2;2;3;3;1;4;2;1;4;1;2;2;4;4;4;1;4;1;2;1;4;1;2;1;1;2;4;4;2;3;2;3;3;2;3;4;2;1;4;3;2;1;2;2;3;2;3;2;3;3;2;3;2;1;2;2;3;2;2;2,25;2;2,5;2,5;4;1,25;42
